Name,Monoisotopic_mass,Formula
"Praseodymium, tris[6,6,7,7,8,8,8-heptafluoro-2,2-di(methyl-d3)-3,5-octanedion-1,1,1-d3-ato-O,O']- (9CI)",296.064727,C10H11F7O2
"(1E)-1,2,3,3,4,4,5,5,6,6,6-Undecafluoro-1-methoxyhex-1-ene",312.0008249,C7H3F11O
"Hexane, 1-(ethenylsulfinyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-",393.969702,C8H3F13OS
"3-Methylbutyl 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate",400.0532544,C11H11F11O3
Perfluorotetracosane,1237.92016,C24F50
Octafluoroadipic acid,289.9825341,C6H2F8O4
4-Chlorobenzenediazonium perfluorobutanoate perfluorobutanoic acid (1:1:1),213.9864767,C4HF7O2
3-(Perfluorooctyl)propyl iodide,587.9242776,C11H6F17I
"N,N-Dimethyl-N-(propan-2-yl)propan-2-aminium nonafluorobutane-1-sulfonate",130.1595747,C8H20N
Sodium 2-((nonafluorobutylsulfonylamino)methyl)benzenesulfonate,468.9700176,C11H8F9NO5S2
Bromotrifluoroethylene,159.9135475,C2BrF3
(Nonafluorobutyl)carbonimidoyl,282.9855092,C5F11N
"N-ethyl perfluorohexanesulfonamido polyethylene glycol, n=6, m=8",823.2270985,C26H42F13NO11S
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,22-Tetratriacontafluorodocosane",922.0396092,C22H12F34
"N-[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctyl)sulfonyl]glycine (FOSAA)",556.9589577,C10H4F17NO4S
"(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)propanedioic acid",450.0136753,C11H7F13O4
"1-Methyl-4H-[1,2,4]triazolo[4,3-a][1]benzazepin-6-yl nonafluorobutane-1-sulfonate",495.0299157,C16H10F9N3O3S
"4-(Nonafluorobutyl)benzene-1,2-dicarbonitrile",346.0152519,C12H3F9N2
"2-Ethyl-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctanoic acid",406.0238461,C10H7F13O2
"1-(2,2,3,3,4,4,4-Heptafluorobutoxy)-4-nitrobenzene",321.0235905,C10H6F7NO3
1-Methyl-4-(tridecafluorohexyl)benzene,410.0340168,C13H7F13
Perfluorooctanesulfonamido ethanol,542.9796932,C10H6F17NO3S
"Triethoxy(1,1,2,2,3,3,6,6,6-nonafluorohexyl)silane",410.0959748,C12H19F9O3Si
"9-[(4,4,5,5,5-Pentafluoropentyl)sulfanyl]nonan-1-ol",336.1546272,C14H25F5OS
"1-(2,3-Dihydro-1H-indol-1-yl)-2,2,3,3,4,4,4-heptafluoro-1-butanone",315.0494113,C12H8F7NO
"n:2 fluorotelomer thio proponic acids, n=6",751.9924053,C17H9F25O2S
3-Hexyl-1-methyl-1H-Imidazolium perfluorobutanesulfonate,168.1626487,C10H20N2
"2,2,3,3,4,4,4-Heptafluorobutanimidohydrazide",227.0293446,C4H4F7N3
"double bond-, H-, ether-substituted perfluoroalkyl (linear) carboyxlic acids, n=10",687.9777208,C15H4F24O3
"N-ethyl perfluoropentanesulfonamido polyethylene glycol, n=5, m=2",509.0730036,C13H18F11NO5S
"Silver, (6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-octanedionato-?O3,?O5)(triethylphosphine)-",560.0844361,C19H29AgF7O2P
"3,4,4,4-Tetrafluoro-3-(heptafluoropropoxy)but-1-ene",312.0008249,C7H3F11O
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Henicosafluorododecyl 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl hydrogen phosphate",1089.963167,C22H9F38O4P
"3,3,4,4,5,5,6,6,6-nonafluorohexyl dihydrogen phosphate",343.985999,C6H6F9O4P
4-(Nonafluorobutyl)benzonitrile,321.0200029,C11H4F9N
bis((Perfluoropropyl)methyl) phosphorochloridoate,479.936303,C8H4ClF14O3P
Heptafluoro-2-iodopropane,295.8932954,C3F7I
Octafluorocyclobutane,199.9872256,C4F8
"N-ethyl perfluoropentanesulfonamido polyethylene glycol, n=5, m=7",729.2040774,C23H38F11NO10S
Perfluorodecahydro-1-t-butylnaphthalene,661.9584832,C14F26
Perfluoro(2-methyl-3-oxahexanoyl) fluoride,331.9706676,C6F12O2
"Potassium 5,5,6,6,7,7,8,8,8-nonafluorooctane-1-sulfonate",356.0128687,C8H9F9O3S
Perfluoromethylcyclopentane,299.9808384,C6F12
"Imidazolidine, 2-heptafluoropropyl-",236.0184455,C6H3F7N2
N-Methyl-bis-heptafluorobutyramide,422.9940231,C9H3F14NO2
"4,4,5,5,6,6,7,7,7-Nonafluoro-2-hydroxyheptyl 2-methylprop-2-enoate",362.056448,C11H11F9O3
TP_3169,385.9787877,C7HF15O
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=6, m=12",1148.282482,C36H49F25O12
"double bond perfluoroalkyl (linear) sulfonic aicds, n=8",611.9311068,C11HF21O3S
"1,2-Ethanediyl bis(perfluorobutanesulfonate)",625.9161869,C10H4F18O6S2
"Sulfonic acids, C6-8-alkane, perfluoro, compds. with polyethylene-polypropylene glycol bis(2-aminopropyl) ether",798.0737502,C19H24F18N2O7S2
"double bond-perfluoroalkyl alcohols, n=1",197.9915621,C4HF7O
Perfluorohexylchloride,353.9480943,C6ClF13
"(1Z)-2,2,3,3,4,4,4-Heptafluoro-N'-(2,2,3,3,4,4,4-heptafluorobutanimidoyl)butanimidamide",407.0103419,C8H3F14N3
Tridecafluorohexanesulphenyl chloride,385.920165,C6ClF13S
"2-Propenoic acid, 2-methyl-, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl ester",425.0343324,C11H12F9NO4S
Bis(heptadecafluorooctyl)phosphinic acid,901.9171246,C16HF34O2P
(Perfluoro-15-methylhexadecyl)ethyl methacrylate,982.0043665,C23H9F35O2
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=6, m=7",928.1514083,C26H29F25O7
"1,1,1,2,2,3,3,4,4,5,5,6,6-Tridecafluoro-8-iodododecane",529.977615,C12H12F13I
"3,4,4,4-Tetrafluoro-1-phenyl-3-(trifluoromethyl)butan-1-one",288.0385122,C11H7F7O
"2-Propenoic acid, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl ester",561.0091015,C13H10F15NO4S
N-[[4-[(Heptadecafluorononenyl)oxy]phenyl]sulfonyl]-N-methylglycine sodium salt,675.0008226,C18H10F17NO5S
"2,4,6-Tris(pentadecafluoroheptyl)-1,3,5-triazine",1184.937366,C24F45N3
Tetrafluoroethylene,99.9936128,C2F4
"1H,1H,11H,11H-Perfluorotetraethylene glycol",410.0023617,C8H6F12O5
